id		teljes név	role	wiki	angol név	alakulás	megszűnés
party.Fidesz	Fidesz	Fidesz – Magyar Polgári Szövetség	politicalParty	https://hu.wikipedia.org/wiki/Fidesz_%E2%80%93_Magyar_Polg%C3%A1ri_Sz%C3%B6vets%C3%A9g	Fidesz – Hungarian Civic Alliance	1988-03-30	
party.KDNP	KDNP	Kereszténydemokrata Néppárt	politicalParty	https://hu.wikipedia.org/wiki/Kereszt%C3%A9nydemokrata_N%C3%A9pp%C3%A1rt	Christian Democratic People's Party	1944-10-13	
party.MSZP	MSZP	Magyar Szocialista Párt	politicalParty	https://hu.wikipedia.org/wiki/Magyar_Szocialista_P%C3%A1rt	Hungarian Socialist Party	1989-11-21	
party.EGYUTT	EGYÜTT	Együtt – a Korszakváltók Pártja	politicalParty	https://hu.wikipedia.org/wiki/Egy%C3%BCtt_%E2%80%93_a_Korszakv%C3%A1lt%C3%B3k_P%C3%A1rtja	Together – Party for a New Era	2013-03-08	2018-06-02
party.DK	DK	Demokratikus Koalíció	politicalParty	https://hu.wikipedia.org/wiki/Demokratikus_Koal%C3%ADci%C3%B3_(Magyarorsz%C3%A1g)	Democratic Coalition	2011-10-22	
party.Parbeszed	Párbeszéd	Párbeszéd Magyarországért	politicalParty	https://hu.wikipedia.org/wiki/P%C3%A1rbesz%C3%A9d_Magyarorsz%C3%A1g%C3%A9rt	Dialogue for Hungary	2013-02-17	
party.MLP	MLP	Magyar Liberális Párt	politicalParty	https://hu.wikipedia.org/wiki/Magyar_Liber%C3%A1lis_P%C3%A1rt	Hungarian Liberal Party	2013-04-27	
party.JOBBIK	JOBBIK	Jobbik Magyarországért Mozgalom	politicalParty	https://hu.wikipedia.org/wiki/Jobbik_Magyarorsz%C3%A1g%C3%A9rt_Mozgalom	Movement for a Better Hungary	2003-10-24	
party.LMP1	LMP	Lehet Más a Politika	politicalParty	https://hu.wikipedia.org/wiki/LMP_%E2%80%93_Magyarorsz%C3%A1g_Z%C3%B6ld_P%C3%A1rtja#cite_note-:0-4	Politics Can Be Different	2009-02-14	2020-02-01
party.LMP2	LMP	LMP - Magyarország Zöld Pártja	politicalParty	https://hu.wikipedia.org/wiki/LMP_%E2%80%93_Magyarorsz%C3%A1g_Z%C3%B6ld_P%C3%A1rtja#cite_note-:0-4	LMP – Hungary's Green Party	2020-02-01	
party.MNOO	MNOÖ	Magyarországi Németek Országos Önkormányzata	politicalParty	https://hu.wikipedia.org/wiki/Magyarorsz%C3%A1gi_N%C3%A9metek_Orsz%C3%A1gos_%C3%96nkorm%C3%A1nyzata	National Self-Government of Germans in Hungary	1995-03-11	
party.Momentum	Momentum	Momentum Mozgalom	politicalParty	https://hu.wikipedia.org/wiki/Momentum_Mozgalom	Momentum Movement	2017-03-04	
party.MiHazank	Mi Hazánk	Mi Hazánk Mozgalom	politicalParty	https://hu.wikipedia.org/wiki/Mi_Haz%C3%A1nk_Mozgalom	Our Homeland Movement	2018-06-23	
party.UK	ÚK	Új Kezdet	politicalParty	https://hu.wikipedia.org/wiki/%C3%9Aj_Kezdet	New Beginning	2016-04-20	
party.Szolidaritas	Szolidaritás	Magyar Szolidaritás Mozgalom	politicalParty	https://hu.wikipedia.org/wiki/Magyar_Szolidarit%C3%A1s_Mozgalom	Hungarian Solidarity Movement	2011-10-01	
party.Volner	Volner	Volner Párt	politicalParty	https://www.volner.hu/	Volner Party	2020-09-19	2022-05-08
party.Huxit	Huxit	Huxit Párt	politicalParty	https://www.volner.hu/	Huxit Party	2022-05-08	